address,lat,lng,method
강원도 평창군 대화면 해뜰마을길 51,37.503934,128.450696,address
강원도 평창군 진부면 진벌1길 144-19,37.652928,128.571195,address
강원도 평창군 평창읍 평창중앙로 67,37.368787,128.394877,address
강원특별자치도 강릉시 강릉대로 454,37.773310,128.913267,address
강원특별자치도 강릉시 노암등길 37-1,37.745970,128.899810,address
강원특별자치도 동해시 감추7길 52(천곡동),37.515232,129.123640,address
강원특별자치도 동해시 부곡5길 22,37.538723,129.109818,address
강원특별자치도 삼척시 진주로 48-41 (당저동),37.445138,129.165002,address
강원특별자치도 속초시 번영로 15,38.202655,128.580502,address
강원특별자치도 속초시 수복로 46,38.196438,128.576587,address
강원특별자치도 속초시 중앙로 90-1,38.201488,128.586034,address
강원특별자치도 양구군 양구읍 박수근로 286-5,38.098363,127.983995,address
강원특별자치도 양양군 양양읍 안산1길 36,38.073581,128.630933,address
강원특별자치도 영월군 김삿갓면 영월동로 1644,37.125984,128.569877,address
강원특별자치도 영월군 북면 봉래산로 987,37.254832,128.455152,address
강원특별자치도 영월군 산솔면 태백산로 1212,37.144151,128.680627,address
강원특별자치도 영월군 영월읍 중리 1길 10,37.178863,128.478155,address
강원특별자치도 영월군 영월읍 중리1길 10,37.178863,128.478155,address
강원특별자치도 영월군 주천면 주천로 103,37.272230,128.269540,address
강원특별자치도 원주시 건강로 73,37.320129,127.989671,address
강원특별자치도 원주시 북원로 2312,37.351717,127.936057,address
강원특별자치도 원주시 원일로 139,37.351550,127.946803,address
강원특별자치도 춘천시 중앙로 107번길 8,37.876232,127.723153,address
강원특별자치도 춘천시 중앙로 107번길14,37.875641,127.723614,address
강원특별자치도 춘천시 퇴계농공로 40,37.849525,127.743612,address
강원특별자치도 태백시 백두대간로 179,37.201110,128.974027,address
강원특별자치도 태백시 번영로 220,37.162937,128.985291,address
강원특별자치도 태백시 장성1길 175 장성 문화플랫폼,37.100933,129.008355,address
강원특별자치도 태백시 태백로 1239,37.148298,128.994401,address
강원특별자치도 태백시 태백로1126,37.157873,128.989341,address
강원특별자치도 홍천군 내면 창촌로 63,37.774002,128.389959,address
강원특별자치도 홍천군 시동안로 140,37.593243,127.823745,address
강원특별자치도 홍천군 아홉사리로 615-1,37.804670,128.041354,address
강원특별자치도 홍천군 홍천읍 태학여내길 80-3,37.712902,127.907256,address
강원특별자치도 화천군 사내면 수피령로 71,38.072823,127.521435,address
강원특별자치도 화천군 중앙로9길 38 화천초등학교,38.104912,127.708564,address
강원특별자치도 화천군 화천읍 산천어길 79,38.108729,127.711594,address
강원특별자치도 화천군 화천읍 산천어길 91,38.109320,127.711551,address
강원특별자치도횡성군 횡성읍 문예로 75,37.488636,127.975202,address
경기도 과천시 별양로 60(별양동),37.424170,126.993719,address
경기도 과천시 중앙로 294,37.441447,126.996295,address
경기도 광명시 철망산로 2,37.466764,126.869901,address
경기도 광주시 광주대로116,37.416909,127.260040,address
경기도 군포시 고산로 263,37.346347,126.943080,address
경기도 군포시 수리산로 112,37.359216,126.919420,address
경기도 김포시 김포한강1로 242(운양동),37.653345,126.684293,address
"경기도 남양주시 진접읍 경복대로 425-80 (금곡리, 경복대학교 남양주캠퍼스 사회교육관) 충효관 1층 반려견놀이터 및 동물행동학 실습실",37.733704,127.210749,address
"경기도 남양주시 진접읍 경복대로 425-80 (금곡리, 경복대학교 남양주캠퍼스 사회교육관) 충효관 1층 작업치료강의실",37.733704,127.210749,address
"경기도 동두천시 중앙로 110-18(지행동, 평생학습관)",37.890883,127.053231,address
경기도 수원시 장안구 송원로 101,37.304095,127.010401,address
경기도 수원시 팔달구 월드컵로 318번길 2,37.286957,127.011796,sigungu
경기도 수원시 팔달구 월드컵로 318번길 2(우만동 582),37.286957,127.011796,sigungu
경기도 시흥시 은행로 173번길 14,37.445515,126.796878,address
경기도 시흥시 정왕대로233번길 21,37.347837,126.740465,address
경기도 안산시 단원구 동산로 63,37.314432,126.797269,address
경기도 안산시 상록구 예술광장1로 32,37.329626,126.845981,address
경기도 안성시 발화대길 23 (발화대길 23),37.000264,127.279313,address
경기도 안양시 동안구 동안로 153,37.391879,126.949507,address
경기도 안양시 만안구 냉천로 39,37.384941,126.927004,address
"경기도 양주시 백석읍 꿈나무로 199, 꿈나무도서관 지하1층 백석학습관",37.792366,126.987275,address
경기도 양평군 양평읍 마유산로 3,37.497420,127.485136,address
경기도 여주시 신륵사길 6-6,37.300185,127.652351,address
경기도 연천군 전곡읍 전곡역로 66번길 53,38.022220,127.071770,address
경기도 오산시 가장산업동로 46,37.162453,127.040688,address
경기도 오산시 경기대로 307,37.152352,127.073206,address
경기도 오산시 독산성로 419,37.188300,127.040825,address
경기도 오산시 문헌공로 45,37.176646,127.054570,address
경기도 오산시 오산로132번길 28,37.138651,127.071720,address
경기도 오산시 운천로165번길 31-29,37.156716,127.076907,address
경기도 오산시 청학로 55-5,37.154588,127.063454,address
경기도 오산시 청학로 80,37.156258,127.065373,address
경기도 오산시 초평중앙로 77,37.140196,127.044104,address
경기도 의왕시 오전로 122,37.355056,126.975459,address
경기도 의정부시 가능로152번길 14 3층 별관 다목적실,37.746449,127.047618,address
경기도 의정부시 거북로 13,37.750314,127.058153,address
경기도 의정부시 경의로 120 본관 3층 3층 다목적실,37.732282,127.049138,address
경기도 의정부시 경의로 120 본관 3층 다목적실 3층 다목적실,37.732282,127.049138,address
경기도 의정부시 경의로 120 본관3층 다목적실,37.732282,127.049138,address
경기도 의정부시 누원로51,37.690548,127.052264,address
경기도 의정부시 만가대길 53 연서빌딩 2층,37.727158,127.085566,address
경기도 의정부시 만가대길 53 연서빌딩 2층 월드파크골프,37.727158,127.085566,address
경기도 의정부시 만가대길 53 용현동 연서빌딩 2층,37.727158,127.085566,address
경기도 의정부시 민락로 13 3층 다목적실,37.731153,127.086817,address
