center_code,sido,sigungu,center_name,address,tel
032,강원,강릉시,강릉,"강원특별자치도 강릉시 범일로579번길 24 (내곡동)가톨릭관동대학교 세바스티아노스포츠센터 A-103, 104호",033-649-7718
122,강원,동해시,동해,"강원특별자치도 동해시 갯목길 114-5 (구미동)해오름스포츠센터, 2층 동해체력인증센터",033-521-8493
059,강원,삼척시,삼척,강원특별자치도 삼척시 중앙로 346 (교동)강원대학교 삼척캠퍼스 복합스포츠센터 3층 306호,033-570-6857
007,강원,원주시,원주,강원도 원주시 남원로 551 (명륜동) 원주국민체육센터 지하1층 원주체력인증센터,033-762-0110
058,강원,춘천시,춘천,강원특별자치도 춘천시 강원대학길 1 (효자동)(효장도)강원대학교 백령스포츠센터 B001호 춘천체력인증센터,033-250-6793
075,강원,태백시,태백,강원도 태백시 태백로 1451 고원체육관2층(태백볼링장 2층) (문곡동) 태백시 고원 2 체육관 2층 (태백볼링장 2층),033-554-1130
074,경기,고양시 일산서구,고양,경기도 고양시 일산서구 중앙로 1601 (대화동) 고양체육관 고양체력인증센터,031-930-1165
132,경기,광명시,광명,"경기도 광명시 광명로 721 (광명동)1층, 은빛누리문화센터 옆 광명체력인증센터",070-4173-2506
148,경기,남양주시,남양주,경기도 남양주시 늘을2로 67 (호평동) 2층 실내체육관 내 사무실,031-560-1404
052,경기,성남시 중원구,성남,경기도 성남시 중원구 제일로 60 (성남동) 성남종합스포츠센터 A동 2층 성남체력인증센터,031-739-6717
105,경기,수원시 영통구,수원,경기도 수원시 영통구 광교산로 154-42 경기대학교 성신관(2강의동) 2003호 수원체력인증센터,031-249-1485
065,경기,시흥시,시흥,경기도 시흥시 정왕대로233번길 33 시흥어울림국민체육센터 2층 시흥체력인증센터,031-498-7338
089,경기,안산시 상록구,안산,경기도 안산시 상록구 한양대학로 55(사동) 한양대학교ERICA 예체능대학 체육관[402동] 1층 107-2호,031-436-8052
103,경기,양평군,양평,경기도 양평군 양서면 북한강로 38 양서에코힐링센터 5층 다목적체육관 내,031-772-9775
042,경기,오산시,오산,경기도 오산시 경기동로 33 (오산동) 오산스포츠센터 1층,031-378-9220
053,경기,의정부시,의정부,경기도 의정부시 체육로 90 (녹양동) 의정부종합운동장 주경기장 기둥번호 N-51,031-8282-100
088,경기,포천시,포천,경기도 포천시 영중면 양문로 153 (영중체육문화센터 1층),031-535-0151
012,경기,화성시,화성,경기도 화성시 효행구 봉담읍 동화길 18(동화리 406-1) 화성국민체육센터 B1층(화성체력인증센터),031-278-7548
155,경남,거창군,거창,경상남도 거창군 거창읍 거창대학로 72 국립창원대학교 거창캠퍼스 다목적체육관 1층,055-272-7851
153,경남,김해시,김해,경상남도 김해시 가야로 243 (구산동)지하 1층 김해체력인증센터,055-322-7330
048,경남,사천시,사천,경상남도 사천시 용현면 대밭담로 27-21 사천국민체육센터 1층 사천체력인증센터,055-835-2066
079,경남,창원시 마산회원구,경남,경상남도 창원시 마산회원구 내서읍 함마대로 2640 (마산대학교) 미래관 7층 국민체력100 경남체력인증센터,055-230-0137
017,경남,창원시 성산구,창원,경상남도 창원시 성산구 원이대로 692 (상남동) 시민생활체육관 3층 창원체력인증센터,055-712-0781
093,경북,경산시,경산,경상북도 경산시 한의대로 1 (유곡동) 기린 체육관 내 2층 경산 체력인증센터,053-819-1838
069,경북,구미시,구미,경상북도 구미시 산동읍 강동로 730 13호관 2층 구미체력인증센터,054-479-1369
067,경북,김천시,김천,경상북도 김천시 운동장길 1 (삼락동) 김천종합운동장 1층 (지번 : 경상북도 김천시 삼락동 488-1),054-433-0020
055,경북,안동시,안동,경상북도 안동시 운동장길 53 안동시민운동장 내10문,054-854-7338
094,경북,영주시,영주,경상북도 영주시 가흥로 109 (가흥동) 시민체육관 내 철탄체육관 1층 (영주체력인증센터),054-637-0100
019,경북,포항시 북구,포항,경상북도 포항시 북구 장량로 56 (장성동) 3층 포항시 체력인증센터,054-272-8519
018,대구,달서구,달서,대구광역시 달서구 갈밭남로 76 (도원동) 월배국민체육센터 내 1층 달서체력인증센터,053-634-8602
080,대구,수성구,KSPO대구,대구광역시 수성구 미술관로 88 (삼덕동) 육상진흥센터 1층 대구체력인증센터,053-716-7336
083,대구,수성구,KSPO대구(출장A),대구광역시 수성구 미술관로 88 (삼덕동) 육상진흥센터 1층 대구체력인증센터,053-716-7336
084,대구,수성구,KSPO대구(출장B),대구광역시 수성구 미술관로 88 (삼덕동) 육상진흥센터 1층 대구체력인증센터,053-716-7336
014,대전,서구,서구(대전),대전광역시 서구 신갈마로230번길 77 (갈마동) 서울올림픽기념 국민생활관 3층 대전체력인증센터,042-485-7330
151,대전,중구,대전중구,대전광역시 중구 대종로 468 (대흥동)5층 대전중구체력인증센터,
