course_id,title,facility,lat,lng,weekday,start_time,sport,tag_strength,tag_endurance,tag_flex,tag_cardio,tag_power
C0001,,검도장,35.133365,126.879824,,,생활체육,1,1,0,0,0
C0002,,관덕정,35.141896,126.911856,,,국궁,1,0,1,0,0
C0003,,광주광역시장애인국민체육센터,35.133363,126.877827,,,생활체육,1,1,0,0,0
C0004,,광주광역시체육회관,35.133365,126.879824,,,생활체육,1,1,0,0,0
C0005,,광주국제양궁장,35.132344,126.891158,,,양궁,1,0,1,0,0
C0006,,광주실내빙상장,35.133909,126.880628,,,빙상,0,0,0,1,1
C0007,,광주실내수영장,35.133460,126.878242,,,수영,0,1,1,1,0
C0008,,광주여대시립유니버시아드체육관,35.164649,126.798518,,,생활체육,1,1,0,0,0
C0009,,남부대시립국제수영장,35.207401,126.841366,,,수영,0,1,1,1,0
C0010,,모아레포츠타운골프연습장,35.132038,126.879550,,,골프,0,0,1,0,1
C0011,,빛고을노인건강타운(빛고을노인건강타운수영장),35.099420,126.895914,,,수영,0,1,1,1,0
C0012,,빛고을노인건강타운체육관,35.099672,126.897008,,,생활체육,1,1,0,0,0
C0013,,빛고을체육관,35.135226,126.877208,,,생활체육,1,1,0,0,0
C0014,,수완인라인롤러경기장,35.195168,126.820843,,,롤러,0,0,0,1,1
C0015,,염주골프센터,35.135059,126.881641,,,골프,0,0,1,0,1
C0016,,염주씨름장,35.135367,126.878947,,,씨름,1,0,0,0,1
C0017,,염주종합체육관,35.135282,126.878876,,,생활체육,1,1,0,0,0
C0018,,염주테니스장,35.141963,126.874531,,,테니스,0,0,0,1,1
C0019,,염주파크골프장,35.133458,126.880126,,,파크골프,0,0,1,0,0
C0020,,용산정구장,35.117133,126.931625,,,테니스,0,0,0,1,1
C0021,,장애인탁구팀전용훈련장,35.153961,126.837944,,,탁구,0,0,0,1,1
C0022,,전라남도종합체육관,35.045194,126.720573,,,생활체육,1,1,0,0,0
C0023,,전전후테니스장,35.133876,126.879739,,,테니스,0,0,0,1,1
C0024,,중흥정구장,35.168289,126.909238,,,테니스,0,0,0,1,1
C0025,,진월국제테니스장,35.111481,126.902341,,,테니스,0,0,0,1,1
C0026,,첨단대상파크골프장,35.233019,126.866337,,,파크골프,0,0,1,0,0
C0027,,27호 어린이 공원 배드민턴장,37.767272,128.904614,,,배드민턴,0,0,0,1,1
C0028,,6호 어린이공원 배드민턴장,37.768810,128.912482,,,배드민턴,0,0,0,1,1
C0029,,강남축구공원 내 농구장,37.742590,128.906173,,,농구,0,0,0,1,1
C0030,,강릉 아이스아레나,37.779318,128.897079,,,빙상,0,0,0,1,1
C0031,,강릉국민체육센터(국민체육센터(수영장)),37.776978,128.896986,,,수영,0,1,1,1,0
C0032,,강릉궁도장,37.802467,128.859986,,,국궁,1,0,1,0,0
C0033,,강릉실내빙상장,37.773671,128.892537,,,빙상,0,0,0,1,1
C0034,,강릉인공암벽장,37.773679,128.898418,,,클라이밍,1,0,1,0,0
C0035,,강릉테니스장,37.774696,128.896599,,,테니스,0,0,0,1,1
C0036,,강릉파크골프장,37.762471,128.911517,,,파크골프,0,0,1,0,0
C0037,,강문해안 체력단련시설,37.794188,128.919364,,,웨이트,1,1,0,0,0
C0038,,강북복싱체육관,37.873331,128.832190,,,생활체육,1,1,0,0,0
C0039,,강북테니스장,37.873876,128.835908,,,테니스,0,0,0,1,1
C0040,,경포호수변 체력단련시설,37.792572,128.906040,,,웨이트,1,1,0,0,0
C0041,,국민체육센터(강남체육관),37.741457,128.905143,,,생활체육,1,1,0,0,0
C0042,,남산근린공원 배드민턴장,37.746627,128.893523,,,배드민턴,0,0,0,1,1
C0043,,로울러스케이트장,37.772589,128.892891,,,롤러,0,0,0,1,1
C0044,,모산봉 등산로 입구 배드민턴장,37.736728,128.906291,,,배드민턴,0,0,0,1,1
C0045,,반다비체육센터,37.763569,128.869556,,,생활체육,1,1,0,0,0
C0046,,부영1차 배드민턴장,37.761180,128.874887,,,배드민턴,0,0,0,1,1
C0047,,부영2차 건너편 산 위 공원 배드민턴장,37.769712,128.881435,,,배드민턴,0,0,0,1,1
C0048,,북부수영장,37.876635,128.830622,,,수영,0,1,1,1,0
C0049,,생활체육센터,37.773621,128.899011,,,생활체육,1,1,0,0,0
C0050,,스피드스케이팅경기장,37.779073,128.899932,,,빙상,0,0,0,1,1
C0051,,신리천둔치 농구장,37.883199,128.824939,,,농구,0,0,0,1,1
C0052,,아레나수영장,37.779318,128.897079,,,수영,0,1,1,1,0
C0053,,야외로울러스케이트장,37.769991,128.927823,,,롤러,0,0,0,1,1
C0054,,옥천동 농구장,37.755711,128.904107,,,농구,0,0,0,1,1
C0055,,옥천동 배드민턴장,37.755879,128.904322,,,배드민턴,0,0,0,1,1
C0056,,월호평동 체육공원 테니스장,37.736721,128.935572,,,테니스,0,0,0,1,1
C0057,,율곡정,37.874044,128.836680,,,국궁,1,0,1,0,0
C0058,,율곡초 뒤 산 정상 배드민턴장,37.767291,128.880693,,,배드민턴,0,0,0,1,1
C0059,,주문진 중학교 테니스장 뒤편 체육시설,37.879500,128.828622,,,테니스,0,0,0,1,1
