facility,address
강남구민체육센터,서울특별시 강남구
강동구민체육센터,서울특별시 강동구
강북구민체육센터,서울특별시 강북구
강서구민체육센터,서울특별시 강서구
관악구민체육센터,서울특별시 관악구
광진구민체육센터,서울특별시 광진구
구로구민체육센터,서울특별시 구로구
금천구민체육센터,서울특별시 금천구
노원구민체육센터,서울특별시 노원구
도봉구민체육센터,서울특별시 도봉구
동대문구체육관,서울특별시 동대문구
동작구국민체육센터,서울특별시 동작구
마포구민체육센터,서울특별시 마포구
서대문구국민체육센터,서울특별시 서대문구
서초구민체육센터,서울특별시 서초구
성동구민체육센터,서울특별시 성동구
성북구민체육센터,서울특별시 성북구
송파구민체육센터,서울특별시 송파구
양천구국민체육센터,서울특별시 양천구
여의도한강공원 체육관,서울특별시 영등포구
영등포구민체육센터,서울특별시 영등포구
용산구국민체육센터,서울특별시 용산구
은평구민체육센터,서울특별시 은평구
종로구민체육센터,서울특별시 종로구
중구구민체육센터,서울특별시 중구
중랑구민체육센터,서울특별시 중랑구
