gender,age_band,item,percentile,value
M,19-24,grip,10,47.9
M,19-24,grip,25,54.3
M,19-24,grip,50,61.2
M,19-24,grip,75,68.1
M,19-24,grip,90,74.7
M,19-24,sit_up,10,30.0
M,19-24,sit_up,25,37.0
M,19-24,sit_up,50,45.0
M,19-24,sit_up,75,52.0
M,19-24,sit_up,90,58.0
M,19-24,sit_reach,10,-3.6
M,19-24,sit_reach,25,4.3
M,19-24,sit_reach,50,10.9
M,19-24,sit_reach,75,16.3
M,19-24,sit_reach,90,20.1
M,19-24,shuttle_run,10,24.0
M,19-24,shuttle_run,25,34.0
M,19-24,shuttle_run,50,46.0
M,19-24,shuttle_run,75,61.0
M,19-24,shuttle_run,90,65.0
M,19-24,standing_jump,10,183.0
M,19-24,standing_jump,25,203.0
M,19-24,standing_jump,50,221.0
M,19-24,standing_jump,75,237.0
M,19-24,standing_jump,90,251.0
M,25-29,grip,10,48.7
M,25-29,grip,25,55.1
M,25-29,grip,50,61.8
M,25-29,grip,75,68.4
M,25-29,grip,90,74.5
M,25-29,sit_up,10,29.0
M,25-29,sit_up,25,37.0
M,25-29,sit_up,50,45.0
M,25-29,sit_up,75,52.0
M,25-29,sit_up,90,57.0
M,25-29,sit_reach,10,-4.5
M,25-29,sit_reach,25,3.7
M,25-29,sit_reach,50,10.1
M,25-29,sit_reach,75,15.3
M,25-29,sit_reach,90,19.2
M,25-29,shuttle_run,10,23.0
M,25-29,shuttle_run,25,32.0
M,25-29,shuttle_run,50,42.0
M,25-29,shuttle_run,75,54.0
M,25-29,shuttle_run,90,62.0
M,25-29,standing_jump,10,180.0
M,25-29,standing_jump,25,199.0
M,25-29,standing_jump,50,215.0
M,25-29,standing_jump,75,230.0
M,25-29,standing_jump,90,244.0
M,30-34,grip,10,49.1
M,30-34,grip,25,55.1
M,30-34,grip,50,61.2
M,30-34,grip,75,67.9
M,30-34,grip,90,74.1
M,30-34,sit_up,10,29.0
M,30-34,sit_up,25,36.0
M,30-34,sit_up,50,44.0
M,30-34,sit_up,75,50.0
M,30-34,sit_up,90,56.0
M,30-34,sit_reach,10,-4.1
M,30-34,sit_reach,25,3.7
M,30-34,sit_reach,50,10.2
M,30-34,sit_reach,75,15.4
M,30-34,sit_reach,90,19.1
M,30-34,shuttle_run,10,21.0
M,30-34,shuttle_run,25,31.0
M,30-34,shuttle_run,50,41.0
M,30-34,shuttle_run,75,50.0
M,30-34,shuttle_run,90,61.0
M,30-34,standing_jump,10,182.0
M,30-34,standing_jump,25,199.0
M,30-34,standing_jump,50,215.0
M,30-34,standing_jump,75,228.0
M,30-34,standing_jump,90,240.0
M,35-39,grip,10,48.9
M,35-39,grip,25,54.6
M,35-39,grip,50,61.0
M,35-39,grip,75,67.4
M,35-39,grip,90,73.4
M,35-39,sit_up,10,28.0
M,35-39,sit_up,25,35.0
M,35-39,sit_up,50,42.0
M,35-39,sit_up,75,48.0
M,35-39,sit_up,90,55.0
M,35-39,sit_reach,10,-4.8
M,35-39,sit_reach,25,3.7
M,35-39,sit_reach,50,10.3
